# energy_eV    eps2_arb    eps2_normalised
1.967890e+00 1.783355e+01 1.236708e-01
1.969141e+00 1.923885e+01 1.334162e-01
1.970392e+00 2.080762e+01 1.442952e-01
1.971643e+00 2.256351e+01 1.564718e-01
1.972894e+00 2.453381e+01 1.701353e-01
1.974145e+00 2.674993e+01 1.855035e-01
1.975396e+00 2.924779e+01 2.028255e-01
1.976647e+00 3.206798e+01 2.223827e-01
1.977898e+00 3.525563e+01 2.444882e-01
1.979149e+00 3.885958e+01 2.694806e-01
1.980400e+00 4.293057e+01 2.977118e-01
1.981651e+00 4.751750e+01 3.295210e-01
1.982902e+00 5.266118e+01 3.651910e-01
1.984153e+00 5.838409e+01 4.048778e-01
1.985405e+00 6.467519e+01 4.485048e-01
1.986656e+00 7.146884e+01 4.956170e-01
1.987907e+00 7.861914e+01 5.452024e-01
1.989158e+00 8.587389e+01 5.955121e-01
1.990409e+00 9.285833e+01 6.439473e-01
